RegioNaam,RegioCode,Amsterdamsecode,Partij,AantalZetels,Website,Facebook,Engine,Feed,Full_content
"Heeze-Leende","G1658","10462","De Lokale Liberale Partij","","https://heeze-leende.d66.nl/","https://www.facebook.com/pages/category/Political-Party/De-Lokale-Liberale-Partij-198382414069215/","wordpress","https://heeze-leende.d66.nl/homepage/feed/",false
"Heiloo","G0399","10793","Heiloo-2000","4","https://www.heiloo-2000.nl/",,"wordpress","https://www.heiloo-2000.nl/feed/",true
"Heiloo","G0399","10793","Gemeentebelangen Heiloo","2","https://www.gemeentebelangenheiloo.nl/","https://www.facebook.com/GemBelangenHeiloo/",,,
"Heiloo","G0399","10793","Heiloo Lokaal","1","https://heiloolokaal.nl/","https://www.facebook.com/heiloolokaal/","wordpress","https://heiloolokaal.nl/feed/",false
"Heiloo","G0399","10793","Nieuwe Communistische Partij - NCPN","1","http://www.ncpnheiloo.nl/",,"wordpress","http://www.ncpnheiloo.nl/feed/",false
"Hellendoorn","G0163","10806","Lokaal Hellendoorn","8","https://www.lokaalhellendoorn.nl/","https://www.facebook.com/pages/category/Political-Organization/Lokaal-Hellendoorn-929777030508070/",,,
"Hellevoetsluis","G0530","11078","Inwonersbelang Hellevoetsluis","12",,"https://www.facebook.com/pages/category/Community/Jan-Maasdam-Lijstduwer-IBH-lijst-1-nr-27-Inwonersbelang-Hellevoetsluis-614889785262020/",,,
"Helmond","G0794","10932","HELDER HELMOND","3","http://helderhelmond.nl/","https://www.facebook.com/helderhelmond/","wordpress","http://helderhelmond.nl/?feed=rss2",false
"Helmond","G0794","10932","Lokaal sterk","3","http://www.lokaalsterkhelmond.nl/","https://www.facebook.com/Lokaal-Sterk-Helmond-1076969369027449/",,"http://www.lokaalsterkhelmond.nl/feed/",true
"Helmond","G0794","10932","Helmond Aktief","1","http://www.helmondaktief.nl/","https://www.facebook.com/helmond.aktief/",,,
"Helmond","G0794","10932","plan!","1","https://www.planhelmond.nl/","https://www.facebook.com/pages/category/Bar/Plan-B-Horeca-1356609887752417/","wordpress","https://www.planhelmond.nl/feed/",false
"Helmond","G0794","10932","VKM Leo Broers","","http://www.vrijepolitiek.nl/","https://www.facebook.com/VrijePolitiek.LeoBroers/",,,
"Hendrik-Ido-Ambacht","G0531","10416","SGP-ChristenUnie","7","https://hendrik-ido-ambacht.sgp-christenunie.nl/","https://www.facebook.com/SgpChristenUnieHendrikIdoAmbacht/likes?ref=page_internal","procurios","https://hendrik-ido-ambacht.sgp-christenunie.nl/l/rss/collect/news/1137449.6414",true
"Hendrik-Ido-Ambacht","G0531","10416","Gemeente Belangen","5","https://www.gembel.nl/","https://www.facebook.com/Gemeente.Belangen.Hendrik.Ido.Ambacht/","wordpress","https://www.gembel.nl/feed/",true
"Hendrik-Ido-Ambacht","G0531","10416","A.U.B.","1","http://a-u-b.nl/","https://www.facebook.com/ambacht.uw.belang/",,,
"Hendrik-Ido-Ambacht","G0531","10416","Echt Voor Ambacht (E.V.A.)","1",,"https://www.facebook.com/Lijst8/",,,
"Hengelo","G0164","10907","Pro Hengelo","6","http://www.prohengelo.nl/",,"wordpress","http://www.prohengelo.nl/feed/",true
"Hengelo","G0164","10907","Burger Belangen","3","https://burgerbelangenhengelo.nl/","https://www.facebook.com/BurgerBelangen.Hengelo/videos/wat-burhan-carlak-graag-in-de-raad-wil-bereiken/1284890658325795/",,,
